Metabolite name	Metabolite description	Formula	Charge			
10fthf[m]	10-Formyltetrahydrofolate mitochondria	C20H21N7O7	-2			
10fthf5glu[m]	10-formyltetrahydrofolate-[Glu](5) mitochondria	C40H45N11O19	-6			
10fthf5glu[l]	10-formyltetrahydrofolate-[Glu](5) lysosome	C40H45N11O19	-6			
ser_L[e]	L-Serine extracellular	C3H7NO3	0			
10fthf[c]	10-Formyltetrahydrofolate cytosol	C20H21N7O7	-2			
ser_L[c]	L-Serine cytosol	C3H7NO3	0			
dopasf[e]	Dopamine 3-O-sulfate extracellular	C8H11NO5S	0			
lald_D[c]	D-Lactaldehyde cytosol	C3H6O2	0			
12HPET[c]	"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate cytosol"	C20H31O4	-1			
dopasf[c]	Dopamine 3-O-sulfate cytosol	C8H11NO5S	0			
stcrn[m]	stearoylcarnitine mitochondria	C25H49NO4	0			
pail_hs_18_2_20_4[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
thbpt[c]	Tetrahydrobiopterin cytosol	C9H15N5O3	0			
prostgh2[c]	Prostaglandin H2 cytosol	C20H31O5	-1			
mi4p_D[c]	1D-myo-Inositol 4-phosphate cytosol	C6H11O9P	-2			
for[c]	Formate cytosol	CH1O2	-1			
ac[c]	Acetate cytosol	C2H3O2	-1			
pail_hs_20_4_20_4[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
ac[e]	Acetate extracellular	C2H3O2	-1			
glu_L[e]	L-Glutamate extracellular	C5H8NO4	-1			
pail34p_hs_18_0_20_4[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
guln[c]	L-Gulonate cytosol	C6H11O7	-1			
glu_L[m]	L-Glutamate mitochondria	C5H8NO4	-1			
glu_L[l]	L-Glutamate lysosome	C5H8NO4	-1			
leuktrD4[c]	Leukotriene D4 cytosol	C25H39N2O6S	-1			
Lcystin[e]	L-Cystine extracellular	C6H12N2O4S2	0			
glu_L[r]	L-Glutamate ER	C5H8NO4	-1			
tcynt[e]	Thiocyanate extracellular	CNS	-1			
leuktrD4[r]	Leukotriene D4 ER	C25H39N2O6S	-1			
tcynt[c]	Thiocyanate cytosol	CNS	-1			
4nph[e]	4-Nitrophenol extracellular	C6H5NO3	0			
nadp[c]	Nicotinamide adenine dinucleotide phosphate cytosol	C21H25N7O17P3	-3			
acald[c]	Acetaldehyde cytosol	C2H4O	0			
nadp[m]	Nicotinamide adenine dinucleotide phosphate mitochondria	C21H25N7O17P3	-3			
5oxpro[c]	5-Oxoproline cytosol	C5H6NO3	-1			
cdpea[c]	CDPethanolamine cytosol	C11H19N4O11P2	-1			
nadp[r]	Nicotinamide adenine dinucleotide phosphate ER	C21H25N7O17P3	-3			
f1p[c]	D-Fructose 1-phosphate cytosol	C6H11O9P	-2			
saccrp_L[m]	L-Saccharopine mitochondria	C11H19N2O6	-1			
ppi[c]	Diphosphate cytosol	HO7P2	-3			
ps_hs_18_1_20_4[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
xmp[c]	Xanthosine 5'-phosphate cytosol	C10H11N4O9P	-2			
pail_hs_18_0_18_0[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
lpchol_hs_16_0[c]	"lysophosphatidylcholine (homo sapiens, C16:0) cytosol"	C24H50NO7P	0			
pail_hs_18_0_18_2[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
tcynt[m]	Thiocyanate mitochondria	CNS	-1			
dhbpt[c]	"6,7-Dihydrobiopterin cytosol"	C9H13N5O3	0			
pa_hs_20_4_20_4[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
mag_hs_20_4[c]	monoglycerol 2 (homo sapiens C20:4) cytosol	C23H38O4	0			
gsn[e]	Guanosine extracellular	C10H13N5O5	0			
pa_hs_16_0_18_0[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
so3[c]	Sulfite cytosol	O3S	-2			
f6p[c]	D-Fructose 6-phosphate cytosol	C6H11O9P	-2			
dxtrn[c]	"phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]}) cytosol"	C48H81O41X	0			
cdpdag_hs_16_0_16_0[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
coa[c]	Coenzyme A cytosol	C21H32N7O16P3S	-4			
thf[c]	"5,6,7,8-Tetrahydrofolate cytosol"	C19H21N7O6	-2			
coa[m]	Coenzyme A mitochondria	C21H32N7O16P3S	-4			
nadh[c]	Nicotinamide adenine dinucleotide - reduced cytosol	C21H27N7O14P2	-2			
pram[c]	5-Phospho-beta-D-ribosylamine cytosol	C5H11NO7P	-1			
pe_hs_16_0_16_0[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
cdpdag_hs_18_1_18_2[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
guln[r]	L-Gulonate ER	C6H11O7	-1			
nmn[c]	NMN cytosol	C11H14N2O8P	-1			
pail34p_hs_16_0_20_4[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
ins[e]	Inosine extracellular	C10H12N4O5	0			
nh4[m]	Ammonium mitochondria	H4N	1			
ins[c]	Inosine cytosol	C10H12N4O5	0			
pail34p_hs_18_0_18_1[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
nh4[e]	Ammonium extracellular	H4N	1			
nh4[c]	Ammonium cytosol	H4N	1			
dopa[c]	Dopamine cytosol	C8H12NO2	1			
pchol_hs_18_1_18_2[c]	Phosphatidylcholine (homo sapiens) cytosol	C8H18NO4PFULLRCO2FULLR2CO2	0			
2dr5p[c]	2-Deoxy-D-ribose 5-phosphate cytosol	C5H9O7P	-2			
alpha_hs_20_4[c]	lysophosphatidic acid cytosol	C3H6O5PFULLRCO2	0			
ivcoa[m]	Isovaleryl-CoA mitochondria	C26H40N7O17P3S	-4			
pail45p_hs_20_4_20_4[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
xylt[c]	Xylitol cytosol	C5H12O5	0			
ps_hs_16_0_16_0[c]	phosphatidylserine (homo sapiens) cytosol	C6H11NO6PFULLRCO2FULLR2CO2	0			
asp_L[m]	L-Aspartate mitochondria	C4H6NO4	-1			
2mb2coa[m]	trans-2-Methylbut-2-enoyl-CoA mitochondria	C26H38N7O17P3S	-4			
hdca[e]	Hexadecanoate (n-C16:0) extracellular	C16H31O2	-1			
hdca[c]	Hexadecanoate (n-C16:0) cytosol	C16H31O2	-1			
gudac[c]	Guanidinoacetate cytosol	C3H7N3O2	0			
dopa[e]	Dopamine extracellular	C8H12NO2	1			
gdp[e]	GDP extracellular	C10H12N5O11P2	-3			
gdp[c]	GDP cytosol	C10H12N5O11P2	-3			
pail34p_hs_18_2_18_2[c]	"phosphatidylinositol-3,4-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
10fthf6glu[l]	10-formyltetrahydrofolate-[Glu](6) lysosome	C45H51N12O22	-7			
10fthf6glu[m]	10-formyltetrahydrofolate-[Glu](6) mitochondria	C45H51N12O22	-7			
3hmp[m]	3-Hydroxy-2-methylpropanoate mitochondria	C4H7O3	-1			
10fthf6glu[c]	10-formyltetrahydrofolate-[Glu](6) cytosol	C45H51N12O22	-7			
gdp[m]	GDP mitochondria	C10H12N5O11P2	-3			
pail4p_hs_18_0_18_1[c]	1-Phosphatidyl-1D-myo-inositol 4-phosphate (Homo sapiens) cytosol	C9H15O12P2FULLRCO2FULLR2CO2	0			
nad[e]	Nicotinamide adenine dinucleotide extracellular	C21H26N7O14P2	-1			
no[e]	Nitric oxide extracellular	NO	0			
5aop[c]	5-Amino-4-oxopentanoate cytosol	C5H9NO3	0			
nad[c]	Nicotinamide adenine dinucleotide cytosol	C21H26N7O14P2	-1			
no[c]	Nitric oxide cytosol	NO	0			
oaa[m]	Oxaloacetate mitochondria	C4H2O5	-2			
5aop[m]	5-Amino-4-oxopentanoate mitochondria	C5H9NO3	0			
fgam[c]	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide cytosol	C8H13N2O9P	-2			
oaa[c]	Oxaloacetate cytosol	C4H2O5	-2			
pe_hs_18_0_20_4[c]	"phosphatidylethanolamine (homo sapiens, C18:0, C20:4) cytosol"	C43H78NO8P	0			
ddcacoa[c]	Dodecanoyl-CoA (n-C12:0CoA) cytosol	C33H54N7O17P3S	-4			
dad_2[c]	Deoxyadenosine cytosol	C10H13N5O3	0			
tyr_L[e]	L-Tyrosine extracellular	C9H11NO3	0			
tyr_L[c]	L-Tyrosine cytosol	C9H11NO3	0			
nad[m]	Nicotinamide adenine dinucleotide mitochondria	C21H26N7O14P2	-1			
stcoa[m]	Stearoyl-CoA (n-C18:0CoA) mitochondria	C39H66N7O17P3S	-4			
xu5p_D[c]	D-Xylulose 5-phosphate cytosol	C5H9O8P	-2			
pail_hs_18_2_18_2[c]	phosphatidylinositol (homo sapiens) cytosol	C9H16O9PFULLRCO2FULLR2CO2	0			
cdpdag_hs_18_1_20_4[c]	CDP diacylglycerol (homo sapiens) cytosol	C12H17N3O11P2FULLRCO2FULLR2CO2	0			
4fumacac[c]	4-Fumarylacetoacetate cytosol	C8H6O6	-2			
glyb[e]	Glycine betaine extracellular	C5H11NO2	0			
ocdcea[e]	octadecenoate (n-C18:1) extracellular	C18H33O2	-1			
glyb[c]	Glycine betaine cytosol	C5H11NO2	0			
pail45p_hs_18_2_18_2[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
mercppyr[c]	Mercaptopyruvate cytosol	C3H3O3S	-1			
ura[c]	Uracil cytosol	C4H4N2O2	0			
pail345p_hs_18_0_20_4[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
hmgcoa[m]	Hydroxymethylglutaryl-CoA mitochondria	C27H39N7O20P3S	-5			
mlthf[m]	"5,10-Methylenetetrahydrofolate mitochondria"	C20H21N7O6	-2			
dag_hs_18_1_18_1[c]	diacylglycerol (homo sapiens) cytosol	C3H6OFULLRCO2FULLR2CO2	0			
b2coa[m]	Crotonoyl-CoA mitochondria	C25H36N7O17P3S	-4			
fe2[m]	Fe2+ mitochondria	Fe	2			
fe2[c]	Fe2+ cytosol	Fe	2			
alpha_hs_18_1[c]	lysophosphatidic acid cytosol	C3H6O5PFULLRCO2	0			
prostgg2[c]	prostaglandin G2 cytosol	C20H32O6	0			
fe2[e]	Fe2+ extracellular	Fe	2			
ca2[e]	Calcium extracellular	Ca	2			
pa_hs_18_1_20_4[c]	phosphatidic acid (homo sapiens) cytosol	C3H5O4PFULLRCO2FULLR2CO2	0			
lac_L[e]	L-Lactate extracellular	C3H5O3	-1			
lac_L[c]	L-Lactate cytosol	C3H5O3	-1			
pe_hs_18_2_18_2[c]	phosphatidylethanolamine (homo sapiens) cytosol	C5H12NO4PFULLRCO2FULLR2CO2	0			
lnlc[c]	linoleic acid (all cis C18:2) n-6 cytosol	C18H31O2	-1			
pail_hs_18_0_20_4[c]	"phosphatidylinositol (homo sapiens, C18:0, C20:4) cytosol"	C47H82O13P	-1			
3mob[m]	3-Methyl-2-oxobutanoate mitochondria	C5H7O3	-1			
pail345p_hs_16_0_16_0[c]	"phosphatidylinositol-3,4,5-trisphosphate (Homo sapiens) cytosol"	C9H13O18P4FULLRCO2FULLR2CO2	0			
nrpphrsf[c]	Sulfate derivative of norepinephrine cytosol	C8H11NO6S	0			
pail45p_hs_18_1_20_4[c]	"phosphatidylinositol 4,5-bisphosphate (Homo sapiens) cytosol"	C9H14O15P3FULLRCO2FULLR2CO2	0			
3mob[c]	3-Methyl-2-oxobutanoate cytosol	C5H7O3	-1			
nrpphr[c]	Norepinephrine cytosol	C8H12NO3	1			
pail4p_hs_18_0_20_4[c]	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:0, C20:4) cytosol"	C47H81O16P2	-3			
gal1p[c]	alpha-D-Galactose 1-phosphate cytosol	C6H11O9P	-2			
cys_L[c]	L-Cysteine cytosol	C3H7NO2S	0			
cys_L[e]	L-Cysteine extracellular	C3H7NO2S	0			
co[c]	Carbon monoxide cytosol	CO	0			
